SKU,Type,Size,Color,Options,Price Per Each,Category,Sub Category,Material,Title,Description,Images,Url
T-1949,,,,{},0.4,,,,"Sonnet T-1949 0.6"" LED Alarm Clock w/ 2 USB Plugs Black 30 Per Case Price Per Each","LED Alarm Clock With A 1.0A USB Hub For Charging Smartphones And A 2.1A USB Hub For Charging Tablets
Clock Is Visible In Dark Bedroom With A 0.6” High Led Display
Battery Back-Up (Battery No Included)
AM/PM And Alarm Indicator, Snooze For Extra Naps
Matte Black Finish, Controls On Top Of Clock
For 110-120 Volt AC 60 Cycle
UPC# 051932019493",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sonnet/t-1949.jpg'],https://www.ahscompany.com/Sonnet-T-1949-06-LED-Alarm-Clock-w-2-USB-Plugs-Black-30-Per-Case-Price-Per-Each_p_23520.html
T-1936,Clock Radios,,,{},0.3,,,,"Sonnet T-1936 0.6"" LED Alarm Clock w/ Battery Back-Up-UL Matte Black 30 Per Case Price Per Each","iPod/iPhone 4 Docking Station Clock Radio With 30 Pin Plug
0.9” LED Display PLL FM Digital Tuning Stereo Radio, Aux In Cord
Snooze And Sleep Function
Battery Backup, 2 “AA” Batteries (Not Included)
Black With Silver Trim And Buttons
Measures 6” Wide X 6 ½” Deep X 2 7/8” High",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sonnet/t-1936b.jpg'],https://www.ahscompany.com/Sonnet-T-1936-06-LED-Alarm-Clock-w-Battery-Back-Up-UL-Matte-Black-30-Per-Case-Price-Per-Each_p_19992.html
R-1662BMP3,Clock Radios,,,{},0.6,,,,"Sonnet R-1662BMP3 0.6"" LED Clock Radio w/ MP3 Plug Black 20 Per Case Price Per Each","Handsome Clock Radio Takes Up Very Little Space On The Night Stand Or Table
MP3 Plug So You Can Listen To Your Audio Device Over The Speaker Of The Radio
Full Feature Nine Minute Snooze, Battery Backup, And Sleep To Music
Measure 3 7/8” Long X 4 3/8” Deep X 2 ¼” High
UPC# 051932316622",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sonnet/r-1662bmp3.jpg'],https://www.ahscompany.com/Sonnet-R-1662BMP3-06-LED-Clock-Radio-w-MP3-Plug-Black-20-Per-Case-Price-Per-Each_p_19981.html
R-1662B,Clock Radios,,,{},0.6,,,,"Sonnet R-1662-B 0.6"" LED Clock Radio-UL Black 20 Per Case Price Per Each","Handsome Clock Radio Takes Up Very Little Space On The Night Stand Or Table
Full Feature-Nine Minute Snooze, Battery Backup, And Sleep To Music
Measure 3 7/8” Long X 4 3/8” Deep X 2 ¼” High
UPC# 051932016621",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sonnet/r-1662-b.jpg'],https://www.ahscompany.com/Sonnet-R-1662-B-06-LED-Clock-Radio-UL-Black-20-Per-Case-Price-Per-Each_p_19979.html
R-1627,Clock Radios,,,{},0.7,,,,"Sonnet R-1627 0.9"" LED Clock Radio w/ USB Charging Plug For Mobile Telephones or iPods Devices & Aux in Cord Black 20 Per Case Price Per Each","Super Bright 0.9” Red LED Display Alarm Clock Radio With USB Charging Plug For Mobile Telephones Or iPod Devices
AM/FM Radio
You Can Listen To Your Favorite Music From Your iPod, iPhone, Or MP3 Player By Plugging The Aux In Cord Into The Headphone Jack Of Your Device
Dimmer Switch To Control Clock Brightness
9 Minute Snooze, Sleep To Your Favorite Radio Station, And Battery Back-Up
Measures 7.75” Wide X 3.375” Deep And 1.5” High
USB Cord Not Included
UPC# 051932016270",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sonnet/r-1627.jpg'],https://www.ahscompany.com/Sonnet-R-1627-09-LED-Clock-Radio-w-USB-Charging-Plug-For-Mobile-Telephones-or-iPods-Devices-Aux-in-Cord-Black-20-Per-Case-Price-Per-Each_p_21040.html
R-1695,Clock Radios,,,{},0.6,,,,"Sonnet R-1695 0.9"" LED Clock w/ Aux in Cord Black 20 Per Case Price Per Each","Bright 0.9” Red LED Number AM/FM Clock Radio Is Full Featured: Wake Up To Your Favorite Radio Station Or Buzzer Alarm
Listen To Your Favorite Music From Your iPod, iPhone Or MP3 Player By Plugging The Aux In Cord Into The Headphone Jack Of Your Device
Clock Radio With Snooze And Sleep To Music, Battery Back Up
Measures 7” Wide 4” Deep X 3” High
UPC# 051932016959",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sonnet/r-1695.jpg'],https://www.ahscompany.com/Sonnet-R-1695-09-LED-Clock-w-Aux-in-Cord-Black-20-Per-Case-Price-Per-Each_p_19997.html
R-1693,Clock Radios,,,{},0.6,,,,Sonnet R-1693 1.2” LED Display Alarm Clock AM/FM Radio w/ Aux in Cord Black 20 Per Case Price Per Each,"Super Bright 1.2” Green LED Display Alarm Clock AM/FM Radio
You Can Listen To Your Favorite Music From Your iPod, iPhone, Or MP3 Player By Plugging The Aux In Cord Into The Headphone Jack Of Your Device
Dimmer Switch To Control Clock Brightness
9 Minute Snooze, Sleep To Your Favorite Radio Station And Battery Back-Up
Measures 7.75” Wide X 3.375” Deep X 1.5” High
UPC# 051932016935",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sonnet/r-1693.jpg'],https://www.ahscompany.com/Sonnet-R-1693-12”-LED-Display-Alarm-Clock-AMFM-Radio-w-Aux-in-Cord-Black-20-Per-Case-Price-Per-Each_p_19988.html
R-1414,,,,{},1.25,,,,"Sonnet R-1414 0.9"" LED Charging Station Clock Radio w/ 2 USB & 2 110 Volt Plugs Black 16 Per Case Price Per Each","Clock Radio Comes With 2 USB Charging Ports: A 1.0A Port For Smartphones And 2.1A Port For Tablets
It Is Also Equipped With Two 110 Volt UL Plugs For Charging Or To Plug In A Lamp Or Any Other 110 Volt Item
Has A 9"" LED Display With AM/FM Radio So You Can Sleep To Music
Battery Backup For Clock Only (Battery Not Included)
Measures 5.25"" Wide X 5.25"" Deep X 4.5"" High",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sonnet/r-1414.jpg'],https://www.ahscompany.com/Sonnet-R-1414-09-LED-Charging-Station-Clock-Radio-w-2-USB-2-110-Volt-Plugs-Black-16-Per-Case-Price-Per-Each_p_24337.html
T-1958,Clock Radios,,,{},0.4,Brand,Sonnet,,"Sonnet T-1958 0.6"" LED Alarm Clock w/ 2 USB-A & 2 USB-C Ports Black 30 Per Case Price Per Each","LED Alarm Clock With Two 3.1A USB-A Ports & Two 3.1A USB-C Ports For Charging Smart Phones & Tablets
Clock Has 0.6"" Red LED Digits Making It Easy To See In A Dark Room.
AM/PM & Alarm Indicator
Snooze For Extra Naps
Controls On The Top Of The Clock
Matte Black Finish
Button Back-Up Battery Included
For 110-120 Volt, AC 60 Cycle
5 3/4""W x 2 5/8"" D x 2 1/4""H
UPC# 051932019585",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sonnet/sonnet-t-1958.jpg'],https://www.ahscompany.com/Sonnet-T-1958-06-LED-Alarm-Clock-w-2-USB-A-2-USB-C-Ports-Black-30-Per-Case-Price-Per-Each_p_30662.html
R-1530,Clock Radios,,,{},7.0,,,,Sonnet R-1530 0.9” LED FM Clock Radio w/ 30 Pin Docking Station Black 6 Per Case Price Per Each,"iPod/iPhone 4 Docking Station Clock Radio With 30 Pin Plug
0.9” LED Display PLL FM Digital Tuning Stereo Radio, Aux In Cord
Snooze And Sleep Function
Battery Backup, 2 “AA” Batteries (Not Included)
Black With Silver Trim And Buttons
Measures 6” Wide X 6 ½” Deep X 2 7/8” High",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Sonnet/R1530.jpg'],https://www.ahscompany.com/Sonnet-R-1530-09”-LED-FM-Clock-Radio-w-30-Pin-Docking-Station-Black-6-Per-Case-Price-Per-Each_p_19990.html
R-1212,Clock Radios,,,{},1.69,,,,Sonnet R-1212 0.9” LED AM/FM Clock Radio w/ Wireless Bluetooth Charging Station & 2 USB Ports Black 16 Per Case Price Per Each,"This Bluetooth Clock Radio Comes With 2 USB Charging Ports, A 1.0A Port For Smartphones And A 3.1A Port For Tablets
Also Has Auxiliary Cord To Amplify Any Portable Device w/ A Headphone Jack
Clock Has A .9” LED Display w/ AM/FM Radio So You Can Sleep To Music
Equipped w/ Wireless Charging And Bluetooth Connectivity
Battery Backup For Clock Only (Battery Not Included)
Measures 7.75” Wide X 5” Deep X 2.75” High",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sonnet/r-1212.jpg'],https://www.ahscompany.com/Sonnet-R-1212-09”-LED-AMFM-Clock-Radio-w-Wireless-Bluetooth-Charging-Station-2-USB-Ports-Black-16-Per-Case-Price-Per-Each_p_27619.html
R-1415BT,Clock Radios,,,{},1.56,,,,Sonnet R-1415BT 0.9” LED AM/FM Clock Radio w/ Bluetooth Speaker & 2 USB Charging Ports Black 16 Per Case Price Per Each,"This Bluetooth Clock Radio Comes With 2 USB Charging Ports, A 1.0A Port For Smartphones And A 3.1A Port For Tablets
Equipped With Two 110V UL Plugs For Charging Or To Plug In A Lamp Or Any Other 110V Item
Clock Has A .9” LED Display With AM/FM Radio So You Can Sleep To Music
Can Connect To Bluetooth Enabled Devices
Battery Backup For Clock Only (Battery Not Included)
Measures 5.25” Wide X 5.25” Deep X 4.5” High",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sonnet/r-1415bt.jpg'],https://www.ahscompany.com/Sonnet-R-1415BT-09”-LED-AMFM-Clock-Radio-w-Bluetooth-Speaker-2-USB-Charging-Ports-Black-16-Per-Case-Price-Per-Each_p_22614.html
R-1428,Clock Radios,,,{},1.25,,,,Sonnet R-1428 0.9” LED FM Clock Radio w/ Bluetooth Speaker & USB Charging Port Black 20 Per Case Price Per Each,"Auto Set Clock Allows You To Plug In The Clock, Set The Time Zone And Daylight Saving (If Applicable) And It Will Be Ready With The Correct Time On The Display
Equipped With Bluetooth Connectivity And A USB Charging Port
Clock Display Has .9” White LED Numbers
Unit Includes FM Radio And Aux In Jack
Clock Has Dual Alarms Which Allow You To Set Wake Up Times For Weekdays, Weekends Or The Whole Week
Snooze Button For Extra 9 Minute Naps
Easy Daylight Saving Time On/Off Button
Battery Back-Up Included For Clock Only
Measures 5” Wide X 3.50” Deep X 4.5” High",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sonnet/r-1428%20(1).jpg'],https://www.ahscompany.com/Sonnet-R-1428-09”-LED-FM-Clock-Radio-w-Bluetooth-Speaker-USB-Charging-Port-Black-20-Per-Case-Price-Per-Each_p_28151.html
T-4674,Alarm Clock,,,{},2.4,,,,"Sonnet T-4674 11.5"" Atomic Analog Wall Clock Beige 10 Per Case Price Per Each","Super Large, Thick Stroke Number Atomic Analog Clock Makes The Clock Easy To Read From Anywhere In The Room
Numbers Are 1 1/2"" High
Radio Controlled So You Can Always Have The Correct Time
Sets Itself From The Time Signal Sent By The National Time Observatory In Boulder, Colorado
Measures 11 1/2"" In Diameter And Is 2"" Thick
Wall Mounted, Silver Cabinet
Uses 1 ""AA"" Battery (Not Included)",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sonnet/t-4674.jpg'],https://www.ahscompany.com/Sonnet-T-4674-115-Atomic-Analog-Wall-Clock-Beige-10-Per-Case-Price-Per-Each_p_24335.html
R-2218,Clock Radios,,,{},1.0,,,,Sonnet R-2218 0.9” LED Single Day Alarm Clock Radio w/ 2 USB Ports & Aux in Cord Black 20 Per Case Price Per Each,"Single Day Alarm Clock Radio With 2 USB Charging Ports, A 3.1A Port For Tablets And A 1.0A For Smartphones
Alarm Automatically Turns Off So The Alarm Will Be Off For The Next Guest
Clock Has A .9"" LED Display With AM/FM Radio So You Can Sleep To Music
Aux In Cord Allows Listening To Music On Your Portable Device
2 ""AA"" Batteries For Battery Backup (Batteries Not Included)
Small Foot Print For Night Stand
Measures 5.25"" Wide X 3"" Deep X 5 1/2"" High",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sonnet/r-2218.jpg'],https://www.ahscompany.com/Sonnet-R-2218-09”-LED-Single-Day-Alarm-Clock-Radio-w-2-USB-Ports-Aux-in-Cord-Black-20-Per-Case-Price-Per-Each_p_26551.html
R-1634,,,,{},0.75,Brand,Sonnet,,"Sonnet R-1634 0.9"" LED Alarm Clock Radio w/ 2 USB Plugs Black 20 Per Case Price Per Each","Red LED 0.9” Clock With A 1.0A USB Hubs For Charging Smartphones And A 2.1A USB Hubs For Charging Tablets
AM/FM Clock Radio Is Full Featured With Wake To Music Or Buzzer Alarm, Aux In Cord For Listening To Your Smartphone Or Tablet, 9 Minute Snooze And Sleep To Radio
Battery Back-Up (Battery Not Included)
Measures 7” Wide X 4” Deep X 3” High
60 Cycle/110V
UPC# 051932016348",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sonnet/r-1634.jpg'],https://www.ahscompany.com/Sonnet-R-1634-09-LED-Alarm-Clock-Radio-w-2-USB-Plugs-Black-20-Per-Case-Price-Per-Each_p_23521.html
R-1688,Clock Radios,,,{},0.85,,,,Sonnet R-1688 0.9” LED Alarm Clock w/ 2 USB Ports & 4 Charging Cables Black 20 Per Case Price Per Each,"Red LED .9” Clock With A 1.0A USB Port For Charging Smartphones And A 3.1A USB Port For Charging Tablets
Includes Four Different Charging Cables: Lightning, Micro USB, Mini USB And USB C As Well As An Auxiliary Cable
AM/FM Clock Radio Is Full Featured With Wake To Music Or Buzzer Alarm, Aux In Cord For Listening To Your Smartphone Or Tablet, 9 Minute Snooze And Sleep To Radio
Battery Back-Up (Battery Not Included)
Measures 7” Wide X 4” Deep X 3” High
60 Cycle/110V",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sonnet/r1688.jpg'],https://www.ahscompany.com/Sonnet-R-1688-09”-LED-Alarm-Clock-w-2-USB-Ports-4-Charging-Cables-Black-20-Per-Case-Price-Per-Each_p_26552.html
R-1617,Clock Radios,,,{},0.6,,,,"Sonnet R-1617 0.9"" LED Single Day Alarm Clock Radio w/ Aux in Cord Black 20 Per Case Price Per Each","Single Day Alarm Clock Radio, Alarm Automatically Turns Off So The Alarm Will Be Off For The Next Guest
Clock Has A .9"" LED Display With AM/FM Radio So You Can Sleep To Music
Aux In Cord For Listening To Music On Your Portable Device
2 “AA” Batteries For Battery Backup (Batteries Not Included)
Small Foot Print For Night Stand
Measures 5.25"" Wide X 3"" Deep X 5 1/2"" High",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sonnet/r-1617.jpg'],https://www.ahscompany.com/Sonnet-R-1617-09-LED-Single-Day-Alarm-Clock-Radio-w-Aux-in-Cord-Black-20-Per-Case-Price-Per-Each_p_26550.html
